id;nome;cnpj;contrato;rg;email;telefone;status
1;invoice ROI port;Rwanda e-business infomediaries;partnerships virtual;Maranhão Planner Piauí;AnaJlia.Macedo59@gmail.com;bluetooth;INATIVO
2;Designer Travessa;Dinamarca Plástico;e-services 1080p content;structure input;Caio2@gmail.com;Pataca Account;ATIVO
3;generating Algodão;Fully-configurable matrix Bicicleta;Cambridgeshire Peixe;SSL;Noah.Oliveira@gmail.com;Senior Regional;ATIVO
4;Madeira;1080p program CSS;Berkshire;Atum Salgadinhos;Fabiano_Carvalho@hotmail.com;engage;INATIVO
5;support Sabonete;Assistant;marrom Paraíba;Buckinghamshire neural;Tertuliano83@live.com;ability;INATIVO
6;Taka;Alagoas Travessa Card;Dinar Cambridgeshire systematic;Metrics productivity;AnaLaura11@yahoo.com;International reinvent;ATIVO
7;Home castanho leading-edge;Ergonômico Genérico;Metal Anguila Direct;multi-tasking grow Gerais;AnaLaura_Carvalho@gmail.com;dourado time-frame Plástico;ATIVO
8;Engineer Ceará composite;homogeneous alarm laranja;matrix;web-readiness Gostoso Computador;Isabel_Braga36@gmail.com;calculating azul;SUSPENSO
9;Piauí;Coreia;Security Ergonômico Investment;Goiás;Matheus60@live.com;Industrial schemas solutions;ATIVO
10;interface;Algéria override;Congelado;Personal Turquia;Roberto.Costa36@gmail.com;Marginal hardware Peso;INATIVO
